data,id_aluno_anonimo,dia_semana,servida
2025-02-19,c15d25d9c7df,Quarta-feira,1
2025-02-19,10eed8dbb990,Quarta-feira,1
2025-02-19,bdedbfa75ab5,Quarta-feira,1
2025-02-19,01f8451aaa06,Quarta-feira,1
2025-02-19,cc02ca1ca595,Quarta-feira,1
2025-02-19,6af904f5bee1,Quarta-feira,1
2025-02-19,16d6f8ce4490,Quarta-feira,1
2025-02-19,dd21cb91de2f,Quarta-feira,1
2025-02-19,ca38cf9a4795,Quarta-feira,1
2025-02-19,e5347006116c,Quarta-feira,1
2025-02-19,99250719f233,Quarta-feira,1
2025-02-19,1e98c346dfb0,Quarta-feira,1
2025-02-19,30fcdb0c3d1c,Quarta-feira,1
2025-02-19,92301edd758c,Quarta-feira,1
2025-02-19,3dbafa0650c2,Quarta-feira,1
2025-02-20,c4a3e5f2f9f7,Quinta-feira,1
2025-02-20,47ea4259aebe,Quinta-feira,1
2025-02-20,d0c78594839a,Quinta-feira,1
2025-02-20,ea7f78b39383,Quinta-feira,1
2025-02-20,efdc2c15dba5,Quinta-feira,1
2025-02-20,93296906ca48,Quinta-feira,1
2025-02-20,040eef61e258,Quinta-feira,1
2025-02-20,57886839a426,Quinta-feira,1
2025-02-20,568da91e65b1,Quinta-feira,1
2025-02-20,4674412bd2fa,Quinta-feira,1
2025-02-20,dce3c331d630,Quinta-feira,1
2025-02-20,0b13888eabb7,Quinta-feira,1
2025-02-20,bf04e4b2c5fd,Quinta-feira,1
2025-02-20,e9fcda82f806,Quinta-feira,1
2025-02-20,baf907bfe2b9,Quinta-feira,1
2025-02-20,023886d488c5,Quinta-feira,1
2025-02-20,14c76aff7e0e,Quinta-feira,1
2025-02-20,772130313177,Quinta-feira,1
2025-02-20,1e57be41a013,Quinta-feira,1
2025-02-20,9a5dc5b041bc,Quinta-feira,1
2025-02-20,1e5e8f282d59,Quinta-feira,1
2025-02-20,4b47e5fb0990,Quinta-feira,1
2025-02-20,b2d88ec926a1,Quinta-feira,1
2025-02-20,2022c28006fb,Quinta-feira,1
2025-02-20,caa915a0e28e,Quinta-feira,1
2025-02-20,90f5a0342ec9,Quinta-feira,1
2025-02-20,2805df6072ae,Quinta-feira,1
2025-02-20,0ed03ff72524,Quinta-feira,1
2025-02-20,ebb56062e4d9,Quinta-feira,1
2025-02-20,7711aaa2eab8,Quinta-feira,1
2025-02-20,e10f01b71019,Quinta-feira,1
2025-02-20,33acb4bc7754,Quinta-feira,1
2025-02-20,f952e271f8eb,Quinta-feira,1
2025-02-20,dd07d058b106,Quinta-feira,1
2025-02-20,254ca5d6a606,Quinta-feira,1
2025-02-20,3d97ba9f7523,Quinta-feira,1
2025-02-20,890980dc60a8,Quinta-feira,1
2025-02-20,05dc8738db99,Quinta-feira,1
2025-02-20,54922f52e380,Quinta-feira,1
2025-02-20,4e184a46a6f6,Quinta-feira,1
2025-02-20,2877a4c33350,Quinta-feira,1
2025-02-20,5a165e86851e,Quinta-feira,1
2025-02-20,a1dbb834590b,Quinta-feira,1
2025-02-20,ef29dc683090,Quinta-feira,1
2025-02-20,a9d0dd49108a,Quinta-feira,1
2025-02-20,9265272adfd5,Quinta-feira,1
2025-02-20,ffb76b111799,Quinta-feira,1
2025-02-20,f6577d609edc,Quinta-feira,1
2025-02-20,9ea9ebb83721,Quinta-feira,1
2025-02-20,4018ed976111,Quinta-feira,1
2025-02-20,5eb6fb4f55df,Quinta-feira,1
2025-02-20,6b7745a01a99,Quinta-feira,1
2025-02-20,4c4b7c39f13b,Quinta-feira,1
2025-02-20,531be3f53cb6,Quinta-feira,1
2025-02-20,6d496ba8faf4,Quinta-feira,1
2025-02-20,d7efc127e146,Quinta-feira,1
2025-02-20,4085b0a131d5,Quinta-feira,1
2025-02-20,c29c85e4bb75,Quinta-feira,1
2025-02-20,63e872be2ff0,Quinta-feira,1
2025-02-20,85567f102e4f,Quinta-feira,1
2025-02-20,f208a3bbc402,Quinta-feira,1
2025-02-20,08352becd6b1,Quinta-feira,1
2025-02-20,f3fc55ccd294,Quinta-feira,1
2025-02-20,db6cfb0073b0,Quinta-feira,1
2025-02-20,a62ff62c3ca1,Quinta-feira,1
2025-02-20,2c5488e64d4a,Quinta-feira,1
2025-02-20,f046fedc86bc,Quinta-feira,1
2025-02-20,ea36f6b0016c,Quinta-feira,1
2025-02-20,26629117c59b,Quinta-feira,1
2025-02-20,a199fd43683b,Quinta-feira,1
2025-02-20,9fb9fdb73cd0,Quinta-feira,1
2025-02-20,c33c2152e936,Quinta-feira,1
2025-02-20,7f322c365f5e,Quinta-feira,1
2025-02-20,15a20d5624f1,Quinta-feira,1
2025-02-20,344293b0a359,Quinta-feira,1
2025-02-20,fab4e61e95af,Quinta-feira,1
2025-02-20,2943f13141f4,Quinta-feira,1
2025-02-20,d5189ba83998,Quinta-feira,1
2025-02-20,cd0b54079260,Quinta-feira,1
2025-02-20,eb836b5d098b,Quinta-feira,1
2025-02-20,ff36875fc73b,Quinta-feira,1
2025-02-20,13aa0b70205d,Quinta-feira,1
2025-02-20,0452546cf3ef,Quinta-feira,1
2025-02-20,ee6d9cabbd62,Quinta-feira,1
2025-02-20,8f3880a65e10,Quinta-feira,1
2025-02-20,8ad34463589f,Quinta-feira,1
2025-02-20,53d396b549b3,Quinta-feira,1
2025-02-20,65c4dfa54706,Quinta-feira,1
2025-02-20,18a9b7454ed9,Quinta-feira,1
2025-02-20,5bb50fd110f1,Quinta-feira,1
2025-02-20,af2150281952,Quinta-feira,1
2025-02-20,d1802eda22a6,Quinta-feira,1
2025-02-20,46c2b91415ad,Quinta-feira,1
