data,proteina_principal,preparo_principal,proteina_vegetariana
2024-05-10,AVE,GRELHADO,OVO
2024-05-13,BOVINA,FRITO,VEGETAL
2024-05-14,BOVINA,FRITO,OVO
2024-05-15,SUINA,ASSADO,VEGETAL
2024-05-16,BOVINA,COZIDO,VEGETAL
2024-05-17,AVE,COZIDO,VEGETAL
2024-05-20,BOVINA,COZIDO,VEGETAL
2024-05-21,AVE,COZIDO,VEGETAL
2024-05-22,FEIJOADA,COZIDO,FEIJOADA
2024-05-23,BOVINA,ASSADO,VEGETAL
2024-05-24,PEIXE,FRITO,VEGETAL
2024-05-27,BOVINA,COZIDO,OVO
2024-05-28,AVE,FORNO,VEGETAL
2024-05-29,BOVINA,ASSADO,VEGETAL
2024-06-03,BOVINA,COZIDO,VEGETAL
2024-06-04,AVE,COZIDO,VEGETAL
2024-06-05,SUINA,ASSADO,OVO
2024-06-06,BOVINA,MOLHO,VEGETAL
2024-06-07,AVE,ASSADO,VEGETAL
2024-06-10,BOVINA,ASSADO,VEGETAL
2024-06-11,AVE,COZIDO,VEGETAL
2024-06-12,BOVINA,COZIDO,OVO
2024-06-13,SUINA,COZIDO,VEGETAL
2024-06-14,PEIXE,FRITO,VEGETAL
2024-06-17,AVE,FRITO,VEGETAL
2024-06-18,BOVINA,ASSADO,OVO
2024-06-19,FEIJOADA,COZIDO,FEIJOADA
2024-06-20,BOVINA,ASSADO,VEGETAL
2024-06-21,AVE,FORNO,VEGETAL
2024-06-24,BOVINA,ASSADO,VEGETAL
2024-06-25,BOVINA,COZIDO,VEGETAL
2024-06-26,BOVINA,COZIDO,VEGETAL
2024-06-27,AVE,FORNO,VEGETAL
2024-06-28,BOVINA,COZIDO,VEGETAL
2024-07-01,BOVINA,FORNO,VEGETAL
2024-07-02,AVE,COZIDO,VEGETAL
2024-07-03,BOVINA,COZIDO,VEGETAL
2024-07-04,SUINA,COZIDO,OVO
2024-07-05,BOVINA,COZIDO,VEGETAL
2024-07-08,SUINA,COZIDO,VEGETAL
2024-07-09,BOVINA,COZIDO,VEGETAL
2024-07-10,BOVINA,COZIDO,OVO
2024-07-11,AVE,COZIDO,VEGETAL
2024-07-12,BOVINA,COZIDO,VEGETAL
2024-07-15,BOVINA,COZIDO,VEGETAL
2024-07-16,AVE,COZIDO,VEGETAL
2024-07-17,BOVINA,COZIDO,VEGETAL
2024-07-18,AVE,COZIDO,OVO
2024-07-19,BOVINA,COZIDO,VEGETAL
2024-07-22,AVE,COZIDO,VEGETAL
2024-07-23,BOVINA,MOLHO,BOVINA
2024-07-24,BOVINA,COZIDO,OVO
2024-07-25,BOVINA,ASSADO,VEGETAL
2024-07-26,AVE,COZIDO,VEGETAL
2024-07-29,BOVINA,ASSADO,VEGETAL
2024-07-30,AVE,COZIDO,VEGETAL
2024-07-31,FEIJOADA,COZIDO,FEIJOADA
2024-09-02,BOVINA,COZIDO,VEGETAL
2024-09-03,AVE,GRELHADO,VEGETAL
2024-09-04,SUINA,ASSADO,OVO
2024-09-05,BOVINA,MOLHO,VEGETAL
2024-09-06,AVE,ASSADO,VEGETAL
2024-09-09,BOVINA,ASSADO,VEGETAL
2024-09-10,AVE,COZIDO,VEGETAL
2024-09-11,BOVINA,COZIDO,OVO
2024-09-12,SUINA,GRELHADO,VEGETAL
2024-09-13,PEIXE,FRITO,VEGETAL
2024-09-16,AVE,FORNO,VEGETAL
2024-09-17,BOVINA,ASSADO,OVO
2024-09-18,FEIJOADA,COZIDO,FEIJOADA
2024-09-19,BOVINA,ASSADO,VEGETAL
2024-09-20,AVE,FORNO,VEGETAL
2024-09-23,BOVINA,ASSADO,OVO
2024-09-24,BOVINA,COZIDO,VEGETAL
2024-09-25,BOVINA,COZIDO,VEGETAL
2024-09-26,AVE,MOLHO,VEGETAL
2024-09-27,BOVINA,COZIDO,VEGETAL
2024-09-30,BOVINA,COZIDO,VEGETAL
2024-10-01,BOVINA,MOLHO,VEGETAL
2024-10-02,SUINA,COZIDO,VEGETAL
2024-10-03,AVE,ASSADO,VEGETAL
2024-10-04,BOVINA,COZIDO,VEGETAL
2024-10-07,AVE,COZIDO,VEGETAL
2024-10-08,BOVINA,COZIDO,VEGETAL
2024-10-09,AVE,COZIDO,OVO
2024-10-10,SUINA,MOLHO,VEGETAL
2024-10-11,PEIXE,COZIDO,VEGETAL
2024-10-14,BOVINA,COZIDO,VEGETAL
2024-10-15,AVE,COZIDO,VEGETAL
2024-10-16,FEIJOADA,COZIDO,FEIJOADA
2024-10-17,BOVINA,COZIDO,VEGETAL
2024-10-18,AVE,MOLHO,VEGETAL
2024-10-21,BOVINA,COZIDO,VEGETAL
2024-10-22,BOVINA,ASSADO,VEGETAL
2024-10-23,AVE,COZIDO,VEGETAL
2024-10-24,BOVINA,COZIDO,OVO
2024-10-25,AVE,MOLHO,VEGETAL
2024-10-28,BOVINA,COZIDO,VEGETAL
2024-10-29,AVE,FRITO,VEGETAL
2024-10-30,SUINA,COZIDO,OVO
2024-10-31,BOVINA,COZIDO,VEGETAL
2024-11-01,PEIXE,COZIDO,VEGETAL
2024-11-04,BOVINA,COZIDO,VEGETAL
2024-11-05,BOVINA,COZIDO,VEGETAL
2024-11-06,SUINA,COZIDO,VEGETAL
2024-11-07,AVE,COZIDO,VEGETAL
2024-11-08,BOVINA,COZIDO,OVO
2024-11-11,AVE,COZIDO,VEGETAL
2024-11-12,BOVINA,COZIDO,VEGETAL
2024-11-13,FEIJOADA,COZIDO,FEIJOADA
2024-11-14,AVE,COZIDO,VEGETAL
2024-11-15,BOVINA,COZIDO,VEGETAL
2024-11-18,SUINA,GRELHADO,OVO
2024-11-19,AVE,GRELHADO,VEGETAL
2024-11-20,BOVINA,COZIDO,VEGETAL
2024-11-21,BOVINA,COZIDO,VEGETAL
2024-11-22,AVE,COZIDO,VEGETAL
2024-11-25,BOVINA,ASSADO,VEGETAL
2024-11-26,SUINA,COZIDO,VEGETAL
2024-11-27,AVE,COZIDO,VEGETAL
2024-11-28,BOVINA,COZIDO,OVO
2024-11-29,AVE,COZIDO,VEGETAL
2024-12-02,AVE,GRELHADO,VEGETAL
2024-12-03,SUINA,COZIDO,OVO
2024-12-04,AVE,MOLHO,VEGETAL
2024-12-05,BOVINA,COZIDO,VEGETAL
2024-12-06,PEIXE,COZIDO,VEGETAL
2024-12-09,AVE,COZIDO,VEGETAL
2024-12-10,SUINA,GRELHADO,VEGETAL
2024-12-11,AVE,COZIDO,VEGETAL
2024-12-12,BOVINA,COZIDO,VEGETAL
2024-12-13,AVE,FRITO,VEGETAL
2024-12-16,BOVINA,COZIDO,VEGETAL
2024-12-17,AVE,COZIDO,VEGETAL
2024-12-18,SUINA,COZIDO,VEGETAL
2024-12-19,BOVINA,ASSADO,OVO
2024-12-20,BOVINA,COZIDO,VEGETAL
2024-12-23,BOVINA,COZIDO,VEGETAL
2024-12-24,BOVINA,COZIDO,VEGETAL
2024-12-25,BOVINA,COZIDO,VEGETAL
2024-12-26,BOVINA,COZIDO,VEGETAL
2024-12-27,BOVINA,COZIDO,VEGETAL
2024-12-30,BOVINA,COZIDO,VEGETAL
2024-12-31,BOVINA,COZIDO,VEGETAL
2025-01-01,BOVINA,COZIDO,VEGETAL
2025-01-02,BOVINA,COZIDO,VEGETAL
